obs_name,method_cluster,selected_as_cancer_cluster,signed_distance_to_selected_cancer_cluster_boundary,x,y,annotation_optional_validation_only,score_cholesterol_biosynthesis,score_immune_activation,score_proliferation,score_hypoxia_stress
19_64291,7,False,3886.4287,11000.029,1965.729,Plasma_IgA,0.5331978,-0.15783484,-0.1512911,-0.041671056
19_64292,8,False,2571.7712,10999.34,3382.8992,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64293,8,False,2513.4,10997.204,3441.457,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64299,7,False,3045.4148,10996.711,2908.8628,unknown,0.546181,-0.15783484,0.40942973,-0.25734973
19_64300,2,False,368.1308,11003.721,5605.1,M1_macrophages,-0.17691031,0.091018915,0.8850378,-0.25734973
19_64302,1,True,-48.833485,11001.326,6741.715,Tumor,-0.17691031,-0.15783484,0.40942973,-0.25734973
19_64308,0,False,3910.3506,11002.018,1846.7377,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64309,2,False,3455.3596,10998.687,2498.5042,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,0.091018915,-0.1512911,-0.25734973
19_64310,7,False,2069.8313,11002.79,3885.4153,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64311,7,False,477.7752,11019.704,5486.21,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_64317,0,False,3913.9092,11002.275,1830.3129,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_64318,7,False,2362.5676,11004.715,3592.1025,unknown,-0.17691031,0.091018915,-0.1512911,-0.25734973
19_64319,3,False,2267.2039,11000.238,3687.8525,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64324,0,False,457.83286,11000.404,5511.8877,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64331,0,False,3283.3174,11005.171,2670.4243,unknown,0.2960868,-0.15783484,-0.1512911,-0.25734973
19_64333,8,False,2640.4756,11000.993,3314.0298,unknown,-0.17691031,-0.15783484,0.40942973,-0.25734973
19_64337,7,False,3218.31,11012.699,2735.1985,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,0.8417857,-0.1512911,-0.25734973
19_64346,0,False,3978.1504,11006.269,1572.6644,Plasma_IgG,0.092886284,-0.15783484,-0.1512911,-0.25734973
19_64347,7,False,3891.1829,11009.25,1991.794,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64351,7,False,2971.5305,11006.429,2982.4026,M1_macrophages,-0.17691031,0.8954334,-0.1512911,-0.25734973
19_64357,4,False,740.4513,11006.405,7483.1836,Plasma_IgG,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64361,0,False,3935.5723,11005.669,1744.44,Plasma_IgG,0.5331978,-0.15783484,0.40942973,-0.25734973
19_64365,7,False,1897.9911,11010.155,4057.1277,unknown,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64367,3,False,1187.5497,11020.655,4768.784,T_cell,-0.17691031,0.091018915,-0.1512911,0.49470982
19_64370,5,False,293.95438,11008.33,5683.1733,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64371,5,False,385.1756,11013.036,7126.7124,CAF,-0.17691031,-0.15783484,-0.1512911,-0.25734973
